library,precision,k,policy,iteration,time,GFLOPS
oblas,f,9000,close,5,0.474927,3069.946430
oblas,f,9000,spread,1,0.477007,3056.556080
oblas,f,9000,spread,2,0.482546,3021.472930
oblas,f,9000,spread,3,0.478771,3045.295678
oblas,f,9000,spread,4,0.476744,3058.242517
oblas,f,9000,spread,5,0.480365,3035.193278
oblas,f,10000,false,1,0.756274,2644.543806
oblas,f,10000,false,2,0.728006,2747.228781
oblas,f,10000,false,3,0.744858,2685.075386
oblas,f,10000,false,4,0.746146,2680.438991
oblas,f,10000,false,5,0.755894,2645.872098
oblas,f,10000,close,1,0.629786,3175.683678
oblas,f,10000,close,2,0.614182,3256.363865
oblas,f,10000,close,3,0.615859,3247.495653
oblas,f,10000,close,4,0.621049,3220.358130
oblas,f,10000,close,5,0.620587,3222.757494
oblas,f,10000,spread,1,0.615951,3247.010952
oblas,f,10000,spread,2,0.616935,3241.831074
oblas,f,10000,spread,3,0.618574,3233.244755
oblas,f,10000,spread,4,0.619221,3229.863113
oblas,f,10000,spread,5,0.627900,3185.219374
oblas,f,11000,false,1,0.937208,2840.352296
oblas,f,11000,false,2,0.944573,2818.205496
oblas,f,11000,false,3,0.941883,2826.252305
oblas,f,11000,false,4,0.946386,2812.807020
oblas,f,11000,false,5,0.935615,2845.188777
oblas,f,11000,close,1,0.773931,3439.580951
oblas,f,11000,close,2,0.780986,3408.512603
oblas,f,11000,close,3,0.811210,3281.515771
oblas,f,11000,close,4,0.778723,3418.419169
oblas,f,11000,close,5,0.808360,3293.087352
oblas,f,11000,spread,1,0.793641,3354.161145
oblas,f,11000,spread,2,0.812183,3277.587642
oblas,f,11000,spread,3,0.812909,3274.658538
oblas,f,11000,spread,4,0.782839,3400.442740
oblas,f,11000,spread,5,0.786927,3382.778125
oblas,f,12000,false,1,1.159121,2981.570072
oblas,f,12000,false,2,1.158472,2983.239809
oblas,f,12000,false,3,1.166747,2962.082064
oblas,f,12000,false,4,1.172875,2946.606357
oblas,f,12000,false,5,1.163086,2971.405211
oblas,f,12000,close,1,1.079396,3201.790056
oblas,f,12000,close,2,1.104528,3128.937535
oblas,f,12000,close,3,1.036844,3333.193331
oblas,f,12000,close,4,1.280140,2699.704564
oblas,f,12000,close,5,1.035584,3337.248414
oblas,f,12000,spread,1,1.033009,3345.565357
oblas,f,12000,spread,2,1.042465,3315.219830
oblas,f,12000,spread,3,1.048121,3297.329818
oblas,f,12000,spread,4,1.019396,3390.242191
oblas,f,12000,spread,5,1.006631,3433.232982
oblas,f,13000,false,1,1.483049,2962.814914
oblas,f,13000,false,2,1.547715,2839.024037
oblas,f,13000,false,3,1.668185,2634.000669
oblas,f,13000,false,4,1.587177,2768.437030
oblas,f,13000,false,5,1.671370,2628.981554
oblas,f,13000,close,1,1.359506,3232.056504
oblas,f,13000,close,2,1.402863,3132.166738
