library,precision,n_threads,iteration,time,GFLOPS
oblas,f,12,5,1.143334,1749.270047
oblas,f,14,1,0.975832,2049.532606
oblas,f,14,2,0.965066,2072.397188
oblas,f,14,3,0.959907,2083.534429
oblas,f,14,4,0.994183,2011.701891
oblas,f,14,5,1.028185,1945.175510
oblas,f,16,1,0.814761,2454.706426
oblas,f,16,2,0.820325,2438.057721
oblas,f,16,3,0.817290,2447.111171
oblas,f,16,4,0.828706,2413.401253
oblas,f,16,5,0.815691,2451.908776
oblas,f,18,1,0.718730,2782.685415
oblas,f,18,2,0.717390,2787.884370
oblas,f,18,3,0.717415,2787.788478
oblas,f,18,4,0.716369,2791.856260
oblas,f,18,5,0.719371,2780.206141
oblas,f,20,1,0.690648,2895.832210
oblas,f,20,2,0.685747,2916.528056
oblas,f,20,3,0.669034,2989.383730
oblas,f,20,4,0.704326,2839.593996
oblas,f,20,5,0.775960,2577.452579
oblas,f,22,1,0.633085,3159.131543
oblas,f,22,2,0.761039,2627.984825
oblas,f,22,3,0.695523,2875.532863
oblas,f,22,4,0.631165,3168.741109
oblas,f,22,5,0.629241,3178.434758
oblas,f,24,1,0.706701,2830.050869
oblas,f,24,2,0.754419,2651.048295
oblas,f,24,3,0.580730,3443.938951
oblas,f,24,4,0.567802,3522.353662
oblas,f,24,5,0.575976,3472.368755
oblas,d,1,1,oblas,d,1,2,oblas,d,1,3,oblas,d,1,4,oblas,d,1,5,oblas,d,2,1,oblas,d,2,2,oblas,d,2,3,oblas,d,2,4,oblas,d,2,5,oblas,d,4,1,6.596101,303.209442
oblas,d,4,2,6.755125,296.071483
oblas,d,4,3,6.551093,305.292567
oblas,d,4,4,6.847303,292.085824
oblas,d,4,5,6.493816,307.985303
oblas,d,6,1,4.356041,459.132549
oblas,d,6,2,4.464632,447.965276
oblas,d,6,3,4.488510,445.582189
oblas,d,6,4,4.397691,454.784063
oblas,d,6,5,4.347154,460.071119
oblas,d,8,1,3.351010,596.834974
oblas,d,8,2,3.300157,606.031766
oblas,d,8,3,3.385489,590.756625
oblas,d,8,4,3.371491,593.209329
oblas,d,8,5,3.300792,605.915196
oblas,d,10,1,2.853731,700.836965
oblas,d,10,2,2.847745,702.309973
oblas,d,10,3,2.861433,698.950440
oblas,d,10,4,2.852208,701.211244
oblas,d,10,5,2.857926,699.808192
oblas,d,12,1,2.358151,848.122044
oblas,d,12,2,2.425996,824.403636
oblas,d,12,3,2.593252,771.232498
oblas,d,12,4,2.430884,822.745912
oblas,d,12,5,2.418238,827.048499
oblas,d,14,1,2.090418,956.746609
oblas,d,14,2,2.094601,954.835681
oblas,d,14,3,2.084865,959.294711
oblas,d,14,4,2.105990,949.672330
oblas,d,14,5,2.032534,983.993285
oblas,d,16,1,1.721775,1161.591896
oblas,d,16,2,1.825120,1095.818394
oblas,d,16,3,1.726626,1158.328195
oblas,d,16,4,1.716680,1165.039669
oblas,d,16,5,1.749201,1143.379079
oblas,d,18,1,1.579558,1266.177331
oblas,d,18,2,1.540496,1298.282849
oblas,d,18,3,1.547032,1292.798309
oblas,d,18,4,1.646542,1214.666676
oblas,d,18,5,1.588752,1258.849511
oblas,d,20,1,1.961489,1019.633749
oblas,d,20,2,1.477789,1353.373001
oblas,d,20,3,1.493471,1339.162050
oblas,d,20,4,1.474186,1356.681293
oblas,d,20,5,1.548568,1291.515755
oblas,d,22,1,1.376326,1453.144026
oblas,d,22,2,1.369027,1460.891910
oblas,d,22,3,1.419446,1409.000543
oblas,d,22,4,1.415225,1413.202765
oblas,d,22,5,1.420723,1407.733883
oblas,d,24,1,1.390708,1438.116187
oblas,d,24,2,1.459156,1370.654953
oblas,d,24,3,1.485204,1346.616728
oblas,d,24,4,1.404266,1424.231743
oblas,d,24,5,1.399899,1428.674279
blis,f,1,1,blis,f,1,2,blis,f,1,3,blis,f,1,4,blis,f,1,5,blis,f,2,1,11.242847,177.890889
blis,f,2,2,11.291878,177.118451
blis,f,2,3,11.324471,176.608684
blis,f,2,4,11.293220,177.097416
blis,f,2,5,11.292619,177.106832
blis,f,4,1,5.742887,348.256879
blis,f,4,2,5.777970,346.142348
blis,f,4,3,5.741982,348.311815
blis,f,4,4,5.648168,354.097131
blis,f,4,5,5.726766,349.237223
blis,f,6,1,3.726124,536.750824
blis,f,6,2,3.802924,525.911127
blis,f,6,3,3.729471,536.269105
blis,f,6,4,3.737672,535.092369
blis,f,6,5,3.715797,538.242581
blis,f,8,1,2.891498,691.683064
blis,f,8,2,2.898957,689.903418
blis,f,8,3,2.908676,687.598126
blis,f,8,4,2.889621,692.132393
blis,f,8,5,2.901143,689.383415
blis,f,10,1,2.341901,854.007043
blis,f,10,2,2.403235,832.211523
blis,f,10,3,2.382970,839.288821
blis,f,10,4,2.402819,832.355513
blis,f,10,5,2.376741,841.488553
blis,f,12,1,2.027310,986.528747
blis,f,12,2,1.954953,1023.042263
blis,f,12,3,1.921095,1041.072767
blis,f,12,4,1.940307,1030.764871
blis,f,12,5,1.948956,1026.190194
blis,f,14,1,1.656927,1207.053662
blis,f,14,2,1.742992,1147.452110
