re,2,1,10000,0.376175
r,2,1,10000,83.850125
re,2,1,10000,0.179787
r,2,1,10000,89.411802
re,2,1,10000,0.124674
r,2,1,10000,89.448185
re,2,1,10000,0.135516
r,2,1,10000,89.492352
re,2,1,10000,0.137137
r,2,1,10000,89.515636
re,2,2,10000,0.130114
r,2,2,10000,44.781829
re,2,2,10000,0.116187
r,2,2,10000,44.735368
re,2,2,10000,0.157818
r,2,2,10000,44.756226
re,2,2,10000,0.144258
r,2,2,10000,44.784175
re,2,2,10000,0.111998
r,2,2,10000,44.750373
re,2,4,10000,0.125818
r,2,4,10000,22.501726
re,2,4,10000,0.171661
r,2,4,10000,22.502760
re,2,4,10000,0.037446
r,2,4,10000,22.436560
re,2,4,10000,0.031518
r,2,4,10000,22.476841
re,2,4,10000,0.042064
r,2,4,10000,22.503148
re,2,8,10000,0.031148
r,2,8,10000,11.389340
re,2,8,10000,0.031606
r,2,8,10000,11.401355
re,2,8,10000,0.033513
r,2,8,10000,11.455578
re,2,8,10000,1.631057
r,2,8,10000,11.444708
re,2,8,10000,0.047813
r,2,8,10000,11.396889
re,2,16,10000,0.044593
r,2,16,10000,5.685466
re,2,16,10000,0.040562
r,2,16,10000,5.693157
re,2,16,10000,0.035806
r,2,16,10000,5.697004
re,2,16,10000,0.031480
r,2,16,10000,5.695469
re,2,16,10000,0.031556
r,2,16,10000,5.685902
re,2,20,10000,0.032262
r,2,20,10000,4.567267
re,2,20,10000,0.036365
r,2,20,10000,4.574287
re,2,20,10000,0.032111
r,2,20,10000,4.586485
re,2,20,10000,0.032448
r,2,20,10000,4.568683
re,2,20,10000,0.032667
r,2,20,10000,4.558529
re,2,28,10000,0.031394
r,2,28,10000,3.290341
re,2,28,10000,0.032503
r,2,28,10000,3.282196
re,2,28,10000,0.032873
r,2,28,10000,3.284552
re,2,28,10000,0.032904
r,2,28,10000,3.292597
re,2,28,10000,0.041706
r,2,28,10000,3.311316
re,2,32,10000,0.033550
r,2,32,10000,2.898550
re,2,32,10000,0.035575
r,2,32,10000,2.896405
re,2,32,10000,0.034273
r,2,32,10000,2.902023
re,2,32,10000,0.033704
r,2,32,10000,2.897279
re,2,32,10000,0.043127
r,2,32,10000,2.900751
re,2,40,10000,0.032750
r,2,40,10000,2.411121
re,2,40,10000,0.038532
r,2,40,10000,2.372230
re,2,40,10000,0.034141
r,2,40,10000,2.370353
re,2,40,10000,0.033147
r,2,40,10000,2.399141
re,2,40,10000,0.036635
r,2,40,10000,2.373213
re,2,48,10000,0.041413
r,2,48,10000,2.108021
re,2,48,10000,0.044598
r,2,48,10000,2.117394
re,2,48,10000,0.034731
r,2,48,10000,2.099651
re,2,48,10000,0.031426
r,2,48,10000,2.097384
re,2,48,10000,0.136197
r,2,48,10000,2.102107
re,2,56,10000,0.031956
r,2,56,10000,1.859316
re,2,56,10000,0.038836
r,2,56,10000,1.866081
re,2,56,10000,0.032529
r,2,56,10000,1.849315
re,2,56,10000,0.031879
r,2,56,10000,1.850118
re,2,56,10000,0.031539
r,2,56,10000,1.857864
re,2,60,10000,0.031587
r,2,60,10000,1.768577
re,2,60,10000,0.032569
r,2,60,10000,1.778087
re,2,60,10000,0.031000
r,2,60,10000,1.772680
re,2,60,10000,0.032634
r,2,60,10000,1.762986
re,2,60,10000,0.040079
r,2,60,10000,1.755997
re,2,64,10000,0.046941
r,2,64,10000,1.702111
re,2,64,10000,0.032281
r,2,64,10000,1.709107
re,2,64,10000,0.034281
r,2,64,10000,1.688674
re,2,64,10000,0.090777
r,2,64,10000,1.698872
re,2,64,10000,0.035339
r,2,64,10000,1.700311
re,2,1,20000,0.668291
r,2,1,20000,357.771560
re,2,1,20000,0.315720
r,2,1,20000,357.602396
re,2,1,20000,0.440696
r,2,1,20000,357.725727
re,2,1,20000,0.361097
r,2,1,20000,358.058480
re,2,1,20000,0.369274
r,2,1,20000,357.828093
re,2,2,20000,0.341314
