re,1,1,5000,0.017768
r,1,1,5000,234.428444
re,1,1,5000,0.025334
r,1,1,5000,238.509649
re,1,1,5000,0.014533
r,1,1,5000,235.606106
re,1,1,5000,0.014469
r,1,1,5000,234.116797
re,1,1,5000,0.015675
r,1,1,5000,234.501340
re,1,8,5000,0.033876
r,1,8,5000,266.598551
re,1,8,5000,0.039512
r,1,8,5000,265.677379
re,1,8,5000,0.016298
r,1,8,5000,265.140845
re,1,8,5000,0.018510
r,1,8,5000,262.212201
re,1,8,5000,0.030521
r,1,8,5000,264.176451
re,1,16,5000,0.045086
r,1,16,5000,295.613712
re,1,16,5000,0.014595
r,1,16,5000,298.051028
re,1,16,5000,0.044990
r,1,16,5000,293.131754
re,1,16,5000,0.013946
r,1,16,5000,296.239223
re,1,16,5000,0.052301
r,1,16,5000,294.707006
re,1,32,5000,0.100414
r,1,32,5000,377.016388
re,1,32,5000,0.014710
r,1,32,5000,354.827155
re,1,32,5000,0.040744
r,1,32,5000,350.449109
re,1,32,5000,0.014787
r,1,32,5000,356.447775
re,1,32,5000,0.060976
og,1,32,5000,0.013818
r,1,32,5000,373.024744
re,1,48,5000,0.040579
og,1,48,5000,0.013791
r,1,48,5000,429.080035
re,1,48,5000,0.013497
og,1,48,5000,0.013949
r,1,48,5000,420.773773
re,1,48,5000,0.017790
og,1,48,5000,0.014078
r,1,48,5000,420.134432
re,1,48,5000,0.014149
og,1,48,5000,0.013964
