re,2,8,5000,0.178467
og,2,8,5000,0.013957
r,2,8,5000,731.447120
ig,2,8,5000,615.121542
re,2,8,5000,0.014644
og,2,8,5000,0.013995
r,2,8,5000,754.517134
ig,2,8,5000,636.840776
re,3,8,5000,0.015800
og,3,8,5000,0.015392
r,3,8,5000,1072.040821
ig,3,8,5000,957.173155
re,3,8,5000,0.041486
og,3,8,5000,0.015695
r,3,8,5000,1059.992738
ig,3,8,5000,944.306255
re,4,8,5000,0.103649
og,4,8,5000,0.017386
r,4,8,5000,1487.211505
ig,4,8,5000,1375.771744
re,4,8,5000,0.017796
og,4,8,5000,0.016462
r,4,8,5000,1374.843804
ig,4,8,5000,1264.526546
re,5,8,5000,0.024427
og,5,8,5000,0.016434
