re,1,16,3000,0.057911
r,1,16,3000,15.602417
re,1,16,3000,0.029911
r,1,16,3000,15.599964
re,1,16,3000,0.029362
r,1,16,3000,15.609323
re,1,16,3000,0.004683
r,1,16,3000,15.617313
re,2,16,4242,0.073237
r,2,16,4242,19.529128
re,2,16,4242,0.015891
r,2,16,4242,19.532465
re,2,16,4242,0.008039
r,2,16,4242,19.536252
re,2,16,4242,0.006650
r,2,16,4242,19.533299
re,3,16,5196,0.068314
r,3,16,5196,29.328306
re,3,16,5196,0.013656
r,3,16,5196,29.330071
re,3,16,5196,0.015053
r,3,16,5196,29.325581
re,3,16,5196,0.015001
r,3,16,5196,29.322605
re,4,16,6000,0.120004
r,4,16,6000,53.356856
re,4,16,6000,0.030230
r,4,16,6000,53.604978
re,4,16,6000,0.017433
r,4,16,6000,39.087061
re,4,16,6000,0.015523
r,4,16,6000,39.083946
re,5,16,6708,0.071658
r,5,16,6708,49.005627
re,5,16,6708,0.090811
r,5,16,6708,67.166779
re,5,16,6708,0.020643
r,5,16,6708,48.981267
re,5,16,6708,0.026980
r,5,16,6708,67.062649
re,6,16,7348,0.169300
r,6,16,7348,80.515936
re,6,16,7348,0.032367
r,6,16,7348,80.440959
re,6,16,7348,0.102505
r,6,16,7348,79.661685
re,6,16,7348,0.138188
r,6,16,7348,80.526909
re,7,16,7937,0.219859
r,7,16,7937,93.859421
re,7,16,7937,0.106617
r,7,16,7937,94.054694
re,7,16,7937,0.165324
r,7,16,7937,94.177482
re,7,16,7937,0.099748
r,7,16,7937,93.909235
re,8,16,8485,0.159293
r,8,16,8485,107.586502
re,8,16,8485,0.067821
r,8,16,8485,107.670562
re,8,16,8485,0.109284
r,8,16,8485,107.689662
re,8,16,8485,0.116106
r,8,16,8485,107.433185
