mode,size,nthreads,k,time
re,1,64,5000,0.014544
r,1,64,5000,0.736154
re,1,64,5000,0.005244
r,1,64,5000,0.737712
re,1,64,5000,0.005236
r,1,64,5000,0.735252
re,1,64,5000,0.005120
r,1,64,5000,0.735044
re,1,64,5000,0.005221
r,1,64,5000,0.734678
re,2,64,7071,0.180662
r,2,64,7071,0.846725
re,2,64,7071,0.062445
r,2,64,7071,0.837170
re,2,64,7071,0.076463
r,2,64,7071,0.841181
re,2,64,7071,0.048116
r,2,64,7071,0.555465
re,2,64,7071,0.026326
r,2,64,7071,0.806485
re,3,64,8660,0.191417
r,3,64,8660,0.846589
re,3,64,8660,0.119171
r,3,64,8660,0.829462
re,3,64,8660,0.044764
r,3,64,8660,0.839643
re,3,64,8660,0.036071
r,3,64,8660,0.830304
re,3,64,8660,0.192632
r,3,64,8660,0.784382
re,4,64,10000,0.320088
r,4,64,10000,0.824436
re,4,64,10000,0.153431
r,4,64,10000,0.868245
re,4,64,10000,0.265530
r,4,64,10000,0.863136
re,4,64,10000,0.115374
r,4,64,10000,0.857851
re,4,64,10000,0.113088
r,4,64,10000,0.864364
re,5,64,11180,0.449113
r,5,64,11180,0.839059
re,5,64,11180,0.113254
r,5,64,11180,0.847769
re,5,64,11180,0.196152
r,5,64,11180,0.856770
re,5,64,11180,0.213917
r,5,64,11180,0.841215
re,5,64,11180,0.115292
r,5,64,11180,0.840864
re,6,64,12247,0.350871
r,6,64,12247,0.884236
re,6,64,12247,0.163615
r,6,64,12247,0.883621
re,6,64,12247,0.108901
r,6,64,12247,0.883150
re,6,64,12247,0.129826
r,6,64,12247,0.880858
re,6,64,12247,0.279134
r,6,64,12247,0.880321
re,7,64,13228,0.268795
r,7,64,13228,0.907064
re,7,64,13228,0.136044
r,7,64,13228,0.920918
re,7,64,13228,0.255970
r,7,64,13228,0.872013
re,7,64,13228,0.138771
r,7,64,13228,0.868189
re,7,64,13228,0.198181
r,7,64,13228,0.854486
re,8,64,14142,0.309263
r,8,64,14142,0.898808
re,8,64,14142,0.145799
r,8,64,14142,0.857970
re,8,64,14142,0.079469
r,8,64,14142,0.969377
re,8,64,14142,0.179542
r,8,64,14142,0.881617
re,8,64,14142,0.079028
r,8,64,14142,0.940338
