library,precision,k,policy,iteration,time,GFLOPS
oblas,f,9000,close,5,0.490538,2972.247744
oblas,f,9000,spread,1,0.497914,2928.216637
oblas,f,9000,spread,2,0.507521,2872.785379
oblas,f,9000,spread,3,0.503724,2894.440850
oblas,f,9000,spread,4,0.489809,2976.669167
oblas,f,9000,spread,5,0.495405,2943.049230
oblas,f,10000,false,1,0.752491,2657.839288
oblas,f,10000,false,2,0.752885,2656.448806
oblas,f,10000,false,3,0.921405,2170.598886
oblas,f,10000,false,4,0.760225,2630.800075
oblas,f,10000,false,5,0.767749,2605.016754
oblas,f,10000,close,1,0.670576,2982.509219
oblas,f,10000,close,2,0.667333,2997.005078
oblas,f,10000,close,3,0.865929,2309.657051
oblas,f,10000,close,4,0.664169,3011.282746
oblas,f,10000,close,5,0.660283,3029.002340
oblas,f,10000,spread,1,0.657569,3041.505096
oblas,f,10000,spread,2,0.674031,2967.221268
oblas,f,10000,spread,3,0.731875,2732.708499
oblas,f,10000,spread,4,0.671286,2979.356220
oblas,f,10000,spread,5,0.668809,2990.392500
oblas,f,11000,false,1,0.912568,2917.042073
oblas,f,11000,false,2,0.951223,2798.501518
oblas,f,11000,false,3,0.931127,2858.901276
oblas,f,11000,false,4,0.956769,2782.280632
oblas,f,11000,false,5,1.383176,1924.555908
oblas,f,11000,close,1,0.818904,3250.684787
oblas,f,11000,close,2,2.851773,933.454441
oblas,f,11000,close,3,0.798505,3333.730467
oblas,f,11000,close,4,1.077091,2471.472242
oblas,f,11000,close,5,0.807528,3296.481763
oblas,f,11000,spread,1,0.834560,3189.704231
oblas,f,11000,spread,2,0.802326,3317.853594
oblas,f,11000,spread,3,0.806787,3299.508132
oblas,f,11000,spread,4,0.833448,3193.962416
oblas,f,11000,spread,5,0.794719,3349.613234
oblas,f,12000,false,1,1.172535,2947.459116
oblas,f,12000,false,2,1.224382,2822.649227
oblas,f,12000,false,3,1.156797,2987.560227
oblas,f,12000,false,4,1.153359,2996.465048
oblas,f,12000,false,5,1.179006,2931.282698
oblas,f,12000,close,1,1.032488,3347.254581
oblas,f,12000,close,2,1.064649,3246.140305
oblas,f,12000,close,3,1.052653,3283.132976
oblas,f,12000,close,4,1.052036,3285.058274
oblas,f,12000,close,5,1.072196,3223.292385
oblas,f,12000,spread,1,1.052637,3283.184158
oblas,f,12000,spread,2,1.056953,3269.775068
oblas,f,12000,spread,3,1.052740,3282.861026
oblas,f,12000,spread,4,1.061054,3257.139513
oblas,f,12000,spread,5,1.074226,3217.199254
oblas,f,13000,false,1,1.467147,2994.928672
oblas,f,13000,false,2,1.443700,3043.569216
oblas,f,13000,false,3,1.429262,3074.313679
oblas,f,13000,false,4,1.639238,2680.513939
oblas,f,13000,false,5,1.490727,2947.554425
oblas,f,13000,close,1,1.362207,3225.648835
oblas,f,13000,close,2,1.394259,3151.495272
oblas,f,13000,close,3,1.273867,3449.340649
oblas,f,13000,close,4,1.340306,3278.355914
oblas,f,13000,close,5,1.319976,3328.848335
oblas,f,13000,spread,1,1.358712,3233.946077
oblas,f,13000,spread,2,1.325520,3314.926711
oblas,f,13000,spread,3,1.324870,3316.551803
oblas,f,13000,spread,4,1.342225,3273.668151
oblas,f,13000,spread,5,1.311187,3351.162264
oblas,f,14000,false,1,1.751252,3133.758299
oblas,f,14000,false,2,1.725413,3180.687266
oblas,f,14000,false,3,2.017802,2719.790813
oblas,f,14000,false,4,1.761044,3116.334117
oblas,f,14000,false,5,1.728415,3175.163256
oblas,f,14000,close,1,1.575116,3484.187721
oblas,f,14000,close,2,1.560979,3515.743270
oblas,f,14000,close,3,1.710206,3208.969352
oblas,f,14000,close,4,1.696426,3235.037284
oblas,f,14000,close,5,1.656755,3312.499546
oblas,f,14000,spread,1,1.558089,3522.263296
oblas,f,14000,spread,2,1.791205,3063.859827
oblas,f,14000,spread,3,1.747077,3141.247511
oblas,f,14000,spread,4,1.582198,3468.591512
oblas,f,14000,spread,5,1.560864,3516.000628
oblas,f,15000,false,1,2.091445,3227.433886
oblas,f,15000,false,2,2.338810,2886.082911
oblas,f,15000,false,3,2.123897,3178.120755
