re,4,1,10000,0.471217
r,4,1,10000,154.309363
re,4,1,10000,0.262082
r,4,1,10000,154.287582
re,4,1,10000,0.207746
r,4,1,10000,154.168572
re,4,1,10000,0.147478
r,4,1,10000,154.197539
re,4,1,10000,0.157944
r,4,1,10000,154.103710
re,4,4,10000,0.167725
r,4,4,10000,153.985813
re,4,4,10000,0.284909
r,4,4,10000,154.307623
re,4,4,10000,0.198603
r,4,4,10000,154.204148
re,4,4,10000,0.137288
r,4,4,10000,154.214824
re,4,4,10000,0.159550
r,4,4,10000,154.297897
re,4,8,10000,0.181226
r,4,8,10000,154.330133
re,4,8,10000,0.130033
r,4,8,10000,153.988014
re,4,8,10000,0.121361
r,4,8,10000,154.245693
re,4,8,10000,0.106299
r,4,8,10000,154.233108
re,4,8,10000,0.164270
r,4,8,10000,154.354681
re,4,16,10000,0.184797
r,4,16,10000,154.136936
re,4,16,10000,0.128747
r,4,16,10000,154.301943
re,4,16,10000,0.119194
r,4,16,10000,154.359566
re,4,16,10000,0.174981
r,4,16,10000,154.093339
re,4,16,10000,0.156634
r,4,16,10000,154.188151
re,4,20,10000,0.184687
r,4,20,10000,153.883169
re,4,20,10000,0.215766
r,4,20,10000,153.723498
re,4,20,10000,0.708937
r,4,20,10000,154.171072
re,4,20,10000,0.280390
r,4,20,10000,153.952425
re,4,20,10000,0.127697
r,4,20,10000,154.346108
re,4,28,10000,0.152129
r,4,28,10000,154.270085
re,4,28,10000,0.313379
r,4,28,10000,154.338177
re,4,28,10000,0.102782
r,4,28,10000,154.235391
re,4,28,10000,0.146072
r,4,28,10000,154.389023
re,4,28,10000,0.211645
r,4,28,10000,154.285245
re,4,32,10000,0.176786
r,4,32,10000,154.311549
re,4,32,10000,0.152343
r,4,32,10000,154.379790
re,4,32,10000,0.096624
r,4,32,10000,153.984306
re,4,32,10000,0.136160
r,4,32,10000,154.262238
re,4,32,10000,0.230251
r,4,32,10000,154.313156
re,4,40,10000,0.187443
r,4,40,10000,154.018602
re,4,40,10000,0.195776
r,4,40,10000,154.058222
re,4,40,10000,0.254557
r,4,40,10000,154.247678
re,4,40,10000,0.261582
r,4,40,10000,154.390716
re,4,40,10000,0.102141
r,4,40,10000,154.264822
re,4,44,10000,0.203084
r,4,44,10000,154.095567
re,4,44,10000,0.119050
r,4,44,10000,154.378126
re,4,44,10000,0.156856
r,4,44,10000,154.415292
re,4,44,10000,0.157236
r,4,44,10000,154.374033
re,4,44,10000,0.265046
r,4,44,10000,154.055073
re,4,52,10000,0.116852
