mode,size,nthreads,k,time
re,10,16,10000,0.185158
r,10,16,10000,21.752789
re,10,16,10000,0.163505
r,10,16,10000,22.037554
re,10,16,10000,0.131214
r,10,16,10000,21.503078
re,10,16,10000,0.060853
r,10,16,10000,21.939032
re,10,16,10000,0.067682
r,10,16,10000,21.945226
re,12,16,10000,0.225865
r,12,16,10000,18.225043
re,12,16,10000,0.065990
r,12,16,10000,18.550496
re,12,16,10000,0.106679
r,12,16,10000,18.237592
re,12,16,10000,0.080470
r,12,16,10000,18.678887
re,12,16,10000,0.101740
r,12,16,10000,18.472509
re,14,16,10000,0.116189
r,14,16,10000,15.667829
re,14,16,10000,0.200824
r,14,16,10000,15.748742
re,14,16,10000,0.077700
r,14,16,10000,15.741429
re,14,16,10000,0.084765
r,14,16,10000,15.827297
re,14,16,10000,0.080832
r,14,16,10000,15.773753
re,16,16,10000,0.134238
r,16,16,10000,13.853506
re,16,16,10000,0.046550
r,16,16,10000,13.886709
re,16,16,10000,0.312026
r,16,16,10000,13.903089
re,16,16,10000,0.083212
r,16,16,10000,13.864366
re,16,16,10000,0.195740
r,16,16,10000,13.858219
re,10,16,20000,0.380468
r,10,16,20000,81.584426
re,10,16,20000,0.425192
r,10,16,20000,81.507120
re,10,16,20000,0.375106
r,10,16,20000,81.363687
re,10,16,20000,0.374762
r,10,16,20000,81.443726
re,10,16,20000,0.402828
r,10,16,20000,81.318722
re,12,16,20000,0.296760
r,12,16,20000,69.071787
re,12,16,20000,0.300864
r,12,16,20000,69.234381
re,12,16,20000,0.339089
r,12,16,20000,69.159292
re,12,16,20000,0.289124
r,12,16,20000,69.406531
re,12,16,20000,0.242530
r,12,16,20000,69.432831
re,14,16,20000,0.222516
r,14,16,20000,58.763610
re,14,16,20000,0.188179
r,14,16,20000,58.371155
re,14,16,20000,0.236859
r,14,16,20000,58.329309
re,14,16,20000,0.203739
r,14,16,20000,58.455126
re,14,16,20000,0.197668
r,14,16,20000,58.592864
re,16,16,20000,0.196746
r,16,16,20000,51.777296
re,16,16,20000,0.195488
r,16,16,20000,52.052758
re,16,16,20000,0.333267
r,16,16,20000,51.830931
re,16,16,20000,0.189095
r,16,16,20000,51.504160
re,16,16,20000,0.268328
r,16,16,20000,51.946256
