i,1,16,10000,0.624488
w,1,16,10000,0.074285
i,1,16,10000,0.624693
w,1,16,10000,0.083631
i,1,16,10000,0.624871
w,1,16,10000,0.075763
i,1,16,10000,0.624406
w,1,16,10000,0.083893
i,1,16,10000,0.624295
w,1,16,10000,0.083927
i,2,16,14142,0.628905
w,2,16,14142,0.120440
i,2,16,14142,0.625027
w,2,16,14142,0.146539
i,2,16,14142,0.628194
w,2,16,14142,0.147024
i,2,16,14142,0.628533
w,2,16,14142,0.153647
i,2,16,14142,0.627588
w,2,16,14142,0.143965
i,3,16,17320,0.625095
w,3,16,17320,0.166213
i,3,16,17320,0.625419
w,3,16,17320,0.219533
i,3,16,17320,0.629949
w,3,16,17320,0.211157
i,3,16,17320,0.626659
w,3,16,17320,0.216539
i,3,16,17320,0.628103
w,3,16,17320,0.211610
i,4,16,20000,0.633348
w,4,16,20000,0.306147
i,4,16,20000,0.632894
w,4,16,20000,0.291190
i,4,16,20000,0.626410
w,4,16,20000,0.290466
i,4,16,20000,0.626134
w,4,16,20000,0.284279
i,4,16,20000,0.635874
w,4,16,20000,0.286206
i,5,16,22360,0.637582
w,5,16,22360,0.304560
i,5,16,22360,0.629490
w,5,16,22360,0.335558
i,5,16,22360,0.625260
w,5,16,22360,0.338013
i,5,16,22360,0.626272
w,5,16,22360,0.340713
i,5,16,22360,0.634269
w,5,16,22360,0.382985
i,6,16,24494,0.630644
w,6,16,24494,0.310651
i,6,16,24494,0.637036
w,6,16,24494,0.391955
i,6,16,24494,0.637396
w,6,16,24494,0.401163
i,6,16,24494,0.628509
w,6,16,24494,0.394479
i,6,16,24494,0.625810
w,6,16,24494,0.394182
i,7,16,26457,0.629520
w,7,16,26457,0.357612
i,7,16,26457,0.629605
w,7,16,26457,0.451389
i,7,16,26457,0.630104
w,7,16,26457,0.445735
i,7,16,26457,0.629613
w,7,16,26457,0.440915
i,7,16,26457,0.626207
w,7,16,26457,0.448231
i,8,16,28284,0.629383
w,8,16,28284,0.388944
i,8,16,28284,0.635801
w,8,16,28284,0.492807
i,8,16,28284,0.628698
w,8,16,28284,0.461897
i,8,16,28284,0.628248
w,8,16,28284,0.501265
i,8,16,28284,0.629045
w,8,16,28284,0.502149
