mode,size,nthreads,k,time
r,24,16,10000,0.603213
re,24,16,10000,0.086434
r,24,16,10000,0.815502
re,24,16,10000,0.126321
r,24,16,10000,0.637334
re,24,16,10000,0.072403
r,24,16,10000,0.612343
re,26,16,10000,0.091724
r,26,16,10000,0.578947
re,26,16,10000,0.069697
r,26,16,10000,1.006452
re,26,16,10000,0.093949
r,26,16,10000,0.574730
re,26,16,10000,0.114073
r,26,16,10000,0.578198
re,26,16,10000,0.082023
r,26,16,10000,0.775502
re,28,16,10000,0.079986
r,28,16,10000,0.579619
re,28,16,10000,0.074118
r,28,16,10000,0.560226
re,28,16,10000,0.108376
r,28,16,10000,0.562101
re,28,16,10000,0.089358
r,28,16,10000,1.022630
re,28,16,10000,0.124259
r,28,16,10000,0.563702
re,30,16,10000,0.096032
r,30,16,10000,0.499230
re,30,16,10000,0.103727
r,30,16,10000,0.998936
re,30,16,10000,0.086486
r,30,16,10000,0.535799
re,30,16,10000,0.081164
r,30,16,10000,0.532424
re,30,16,10000,0.083506
r,30,16,10000,0.984243
re,32,16,10000,0.081520
r,32,16,10000,0.499265
re,32,16,10000,0.205698
r,32,16,10000,0.871482
re,32,16,10000,0.045855
r,32,16,10000,0.520678
re,32,16,10000,0.065393
r,32,16,10000,0.489828
re,32,16,10000,0.063054
r,32,16,10000,0.949426
re,18,16,20000,0.477508
r,18,16,20000,2.798943
re,18,16,20000,0.108196
r,18,16,20000,3.830116
re,18,16,20000,0.216547
r,18,16,20000,2.795876
re,18,16,20000,0.085781
r,18,16,20000,3.621578
re,18,16,20000,0.144694
r,18,16,20000,2.803130
re,20,16,20000,0.117350
r,20,16,20000,2.619193
re,20,16,20000,0.130464
r,20,16,20000,3.035150
re,20,16,20000,0.114471
r,20,16,20000,2.603596
re,20,16,20000,0.090700
r,20,16,20000,2.620906
re,20,16,20000,0.102695
r,20,16,20000,3.241128
re,22,16,20000,0.119239
r,22,16,20000,2.344703
re,22,16,20000,0.117918
r,22,16,20000,3.029103
re,22,16,20000,0.095542
r,22,16,20000,2.359682
re,22,16,20000,0.215249
r,22,16,20000,2.376397
re,22,16,20000,0.121110
r,22,16,20000,3.232694
re,24,16,20000,0.100078
r,24,16,20000,3.090064
re,24,16,20000,0.097161
r,24,16,20000,2.158790
re,24,16,20000,0.117592
r,24,16,20000,3.260971
re,24,16,20000,0.091891
r,24,16,20000,2.175703
re,24,16,20000,0.210151
r,24,16,20000,3.230733
re,26,16,20000,0.145890
r,26,16,20000,2.697240
re,26,16,20000,0.098248
r,26,16,20000,2.816114
re,26,16,20000,0.089859
r,26,16,20000,1.969662
re,26,16,20000,0.198648
r,26,16,20000,2.692634
re,26,16,20000,0.089795
r,26,16,20000,2.008756
re,28,16,20000,0.291096
r,28,16,20000,1.933536
re,28,16,20000,0.089853
r,28,16,20000,2.390095
re,28,16,20000,0.100913
r,28,16,20000,1.919823
re,28,16,20000,0.167965
r,28,16,20000,2.900685
re,28,16,20000,0.112998
r,28,16,20000,1.869437
re,30,16,20000,0.126221
r,30,16,20000,1.719956
re,30,16,20000,0.110160
r,30,16,20000,2.384695
re,30,16,20000,0.102454
r,30,16,20000,1.724799
re,30,16,20000,0.098350
r,30,16,20000,1.792989
re,30,16,20000,0.133278
r,30,16,20000,2.002713
re,32,16,20000,0.132012
r,32,16,20000,1.655974
re,32,16,20000,0.072646
r,32,16,20000,1.646966
re,32,16,20000,0.202214
r,32,16,20000,1.640704
re,32,16,20000,0.074357
r,32,16,20000,1.631398
re,32,16,20000,0.105771
r,32,16,20000,1.648843
