library,precision,n_threads,iteration,time,GFLOPS
mkl,f,256,2,2.132560,937.839787
mkl,f,256,3,2.037367,981.659362
mkl,f,256,4,2.015807,992.158566
mkl,f,256,5,2.123741,941.734598
mkl,d,2,1,mkl,d,2,2,mkl,d,2,3,mkl,d,2,4,mkl,d,2,5,mkl,d,4,1,38.302726,52.215605
mkl,d,4,2,37.935613,52.720909
mkl,d,4,3,37.219072,53.735891
mkl,d,4,4,36.815728,54.324609
mkl,d,4,5,39.115429,51.130719
mkl,d,8,1,11.214171,178.345780
mkl,d,8,2,11.239554,177.943006
mkl,d,8,3,11.215870,178.318752
mkl,d,8,4,11.223085,178.204121
mkl,d,8,5,11.238287,177.963067
mkl,d,16,1,6.368760,314.032867
mkl,d,16,2,6.167468,324.282189
mkl,d,16,3,6.336003,315.656404
mkl,d,16,4,6.121439,326.720578
mkl,d,16,5,6.161554,324.593440
mkl,d,24,1,4.494313,445.006884
mkl,d,24,2,4.490565,445.378268
mkl,d,24,3,4.679281,427.416106
mkl,d,24,4,4.470758,447.351415
mkl,d,24,5,4.481785,446.250741
mkl,d,32,1,4.140285,483.058537
mkl,d,32,2,4.157434,481.066017
mkl,d,32,3,4.165050,480.186367
mkl,d,32,4,4.118698,485.590404
mkl,d,32,5,4.209401,475.127036
mkl,d,40,1,4.090951,488.883842
mkl,d,40,2,4.141606,482.904478
mkl,d,40,3,4.031187,496.131817
mkl,d,40,4,4.007532,499.060235
mkl,d,40,5,4.040437,494.995929
mkl,d,48,1,3.633560,550.424416
mkl,d,48,2,3.650362,547.890902
mkl,d,48,3,3.518118,568.485695
mkl,d,48,4,3.573446,559.683787
mkl,d,48,5,3.529204,566.700002
mkl,d,56,1,3.520105,568.164876
mkl,d,56,2,3.446675,580.269407
mkl,d,56,3,3.586060,557.715228
mkl,d,56,4,3.501680,571.154468
mkl,d,56,5,3.555472,562.513144
mkl,d,64,1,3.428459,583.352453
mkl,d,64,2,3.295552,606.878528
mkl,d,64,3,3.305743,605.007800
mkl,d,64,4,3.478601,574.943723
mkl,d,64,5,3.308601,604.485017
mkl,d,72,1,3.750816,533.217258
mkl,d,72,2,3.446597,580.282456
mkl,d,72,3,3.377278,592.192814
mkl,d,72,4,3.798027,526.589204
mkl,d,72,5,3.291407,607.642915
mkl,d,80,1,3.135616,637.833273
mkl,d,80,2,2.960654,675.526371
mkl,d,80,3,3.557916,562.126895
mkl,d,80,4,3.098121,645.552548
mkl,d,80,5,3.030233,660.015287
mkl,d,88,1,3.155836,633.746549
mkl,d,88,2,2.947453,678.552000
mkl,d,88,3,3.182758,628.385903
mkl,d,88,4,3.380270,591.668639
mkl,d,88,5,3.296822,606.644740
mkl,d,96,1,3.197244,625.538697
mkl,d,96,2,3.652900,547.510169
mkl,d,96,3,3.057010,654.234011
mkl,d,96,4,3.059722,653.654186
mkl,d,96,5,3.340856,598.648987
mkl,d,104,1,3.288765,608.131014
mkl,d,104,2,3.357142,595.744830
mkl,d,104,3,3.521725,567.903559
mkl,d,104,4,3.469306,576.484204
mkl,d,104,5,3.360071,595.225527
mkl,d,112,1,3.096570,645.875944
mkl,d,112,2,3.136857,637.580813
mkl,d,112,3,3.028937,660.297755
mkl,d,112,4,3.310515,604.135651
mkl,d,112,5,3.619496,552.563169
mkl,d,120,1,3.657753,546.783805
mkl,d,120,2,3.082636,648.795408
mkl,d,120,3,3.078785,649.606813
mkl,d,120,4,3.324705,601.557113
mkl,d,120,5,2.968202,673.808522
mkl,d,128,1,3.269689,611.679035
mkl,d,128,2,3.615458,553.180241
mkl,d,128,3,3.045141,656.783933
mkl,d,128,4,3.630294,550.919504
mkl,d,128,5,3.102384,644.665479
mkl,d,136,1,3.306225,604.919463
mkl,d,136,2,3.624605,551.784240
mkl,d,136,3,3.190866,626.788998
mkl,d,136,4,3.450262,579.666092
mkl,d,136,5,3.583517,558.110909
mkl,d,144,1,3.212270,622.612598
mkl,d,144,2,3.445829,580.411844
mkl,d,144,3,3.155134,633.887461
mkl,d,144,4,3.239085,617.458246
mkl,d,144,5,3.313293,603.629135
mkl,d,152,1,3.045738,656.655203
mkl,d,152,2,2.966306,674.239329
mkl,d,152,3,3.096905,645.806145
mkl,d,152,4,3.145581,635.812564
mkl,d,152,5,3.101270,644.897109
mkl,d,160,1,2.916822,685.677878
mkl,d,160,2,2.972656,672.798964
mkl,d,160,3,2.951561,677.607477
mkl,d,160,4,3.047984,656.171336
mkl,d,160,5,3.229481,619.294608
mkl,d,168,1,3.158094,633.293456
mkl,d,168,2,3.342951,598.273866
mkl,d,168,3,3.042773,657.295116
mkl,d,168,4,2.863397,698.471176
mkl,d,168,5,3.036800,658.587902
mkl,d,176,1,3.225334,620.090875
mkl,d,176,2,2.909746,687.345216
mkl,d,176,3,3.131760,638.618496
mkl,d,176,4,2.906238,688.174842
mkl,d,176,5,2.934391,681.572393
mkl,d,184,1,2.911788,686.863174
mkl,d,184,2,2.989097,669.098371
mkl,d,184,3,2.389169,837.111272
mkl,d,184,4,2.971157,673.138346
mkl,d,184,5,3.207653,623.508786
mkl,d,192,1,2.955804,676.634920
mkl,d,192,2,3.192708,626.427566
mkl,d,192,3,3.374538,592.673723
mkl,d,192,4,2.906339,688.150946
mkl,d,192,5,3.132925,638.381062
mkl,d,200,1,3.173417,630.235408
mkl,d,200,2,3.298208,606.389960
mkl,d,200,3,2.984225,670.190810
mkl,d,200,4,3.260859,613.335380
mkl,d,200,5,3.391972,589.627457
mkl,d,208,1,2.940191,680.228001
mkl,d,208,2,2.909769,687.339825
mkl,d,208,3,2.880343,694.361719
mkl,d,208,4,3.275544,610.585647
mkl,d,208,5,2.979807,671.184326
mkl,d,216,1,3.043587,657.119330
mkl,d,216,2,2.986700,669.635362
mkl,d,216,3,3.301274,605.826648
mkl,d,216,4,3.002838,666.036496
mkl,d,216,5,2.986567,669.665160
mkl,d,224,1,3.069919,651.482997
mkl,d,224,2,2.603616,768.162531
mkl,d,224,3,3.019119,662.444886
mkl,d,224,4,3.205782,623.872748
mkl,d,224,5,3.324410,601.610449
mkl,d,232,1,3.358332,595.533787
mkl,d,232,2,3.402576,587.790003
mkl,d,232,3,3.070709,651.315287
mkl,d,232,4,3.583840,558.060608
mkl,d,232,5,3.644276,548.805789
mkl,d,240,1,3.167802,631.352556
mkl,d,240,2,3.403202,587.681796
mkl,d,240,3,3.341682,598.500982
mkl,d,240,4,3.611297,553.817673
mkl,d,240,5,3.407833,586.883163
mkl,d,248,1,3.486098,573.707366
mkl,d,248,2,3.482975,574.221696
mkl,d,248,3,3.422597,584.351507
mkl,d,248,4,2.929049,682.815462
mkl,d,248,5,3.530072,566.560724
mkl,d,256,1,2.909026,687.515253
mkl,d,256,2,2.907624,687.846730
mkl,d,256,3,3.332887,600.080356
mkl,d,256,4,2.890699,691.874250
mkl,d,256,5,3.330162,600.571340
blis,f,2,1,31.836957,62.820075
blis,f,2,2,31.997464,62.504954
blis,f,2,3,30.939085,64.643153
blis,f,2,4,31.637837,63.215447
blis,f,2,5,31.403794,63.686572
blis,f,4,1,11.054289,180.925254
blis,f,4,2,11.055955,180.897985
blis,f,4,3,11.148650,179.393922
blis,f,4,4,11.008242,181.682049
blis,f,4,5,11.006660,181.708171
blis,f,8,1,6.144284,325.505801
blis,f,8,2,6.301861,317.366567
blis,f,8,3,6.206529,322.241293
blis,f,8,4,6.246092,320.200217
blis,f,8,5,6.313554,316.778774
blis,f,16,1,4.946344,404.339029
blis,f,16,2,5.125742,390.187419
blis,f,16,3,4.162038,480.533791
blis,f,16,4,4.161416,480.605585
blis,f,16,5,4.043013,494.680632
blis,f,24,1,3.787001,528.122348
blis,f,24,2,3.207197,623.597493
blis,f,24,3,3.512600,569.378731
blis,f,24,4,3.718738,537.816839
blis,f,24,5,3.298916,606.259689
