library,precision,n_threads,iteration,time,GFLOPS
blis,f,216,1,2.327149,859.420754
blis,f,216,2,2.341842,854.028721
blis,f,216,3,2.625013,761.900999
blis,f,216,4,2.442146,818.951825
blis,f,216,5,2.188323,913.941745
blis,f,224,1,3.491722,572.783297
blis,f,224,2,2.815452,710.365484
blis,f,224,3,2.376339,841.630590
blis,f,224,4,2.831236,706.405237
blis,f,224,5,2.407972,830.574534
blis,f,232,1,2.712356,737.366212
blis,f,232,2,2.659277,752.084257
blis,f,232,3,2.436890,820.718082
blis,f,232,4,2.633428,759.466350
blis,f,232,5,2.779775,719.482721
blis,f,240,1,2.846728,702.560942
blis,f,240,2,2.963238,674.937301
blis,f,240,3,2.495566,801.421463
blis,f,240,4,2.543692,786.258565
blis,f,240,5,2.682404,745.599869
blis,f,248,1,2.742768,729.190328
blis,f,248,2,3.191112,626.740799
blis,f,248,3,2.809535,711.861689
blis,f,248,4,2.919540,685.039355
blis,f,248,5,2.773023,721.234472
blis,f,256,1,2.842852,703.518865
blis,f,256,2,2.669084,749.320690
blis,f,256,3,3.037318,658.475634
blis,f,256,4,2.563174,780.282665
blis,f,256,5,2.572725,777.385929
blis,d,2,1,21.632146,92.454998
blis,d,2,2,21.718454,92.087585
blis,d,2,3,21.629237,92.467434
blis,d,2,4,21.651827,92.370960
blis,d,2,5,21.936577,91.171928
blis,d,4,1,12.067058,165.740482
blis,d,4,2,11.999282,166.676639
blis,d,4,3,12.296136,162.652716
blis,d,4,4,12.240793,163.388104
blis,d,4,5,12.538743,159.505618
blis,d,8,1,6.149171,325.247079
blis,d,8,2,6.003865,333.118762
blis,d,8,3,5.965289,335.272963
blis,d,8,4,6.229023,321.077654
blis,d,8,5,6.424859,311.290869
blis,d,16,1,3.091509,646.933235
blis,d,16,2,2.954669,676.894860
blis,d,16,3,3.013050,663.779200
blis,d,16,4,2.926570,683.393987
blis,d,16,5,3.108639,643.368369
blis,d,24,1,2.070015,966.176389
blis,d,24,2,2.070279,966.053230
blis,d,24,3,2.075982,963.399302
blis,d,24,4,2.081667,960.768399
blis,d,24,5,2.099044,952.814823
blis,d,32,1,1.576626,1268.531897
blis,d,32,2,1.587347,1259.963972
blis,d,32,3,1.553184,1287.677305
blis,d,32,4,1.619379,1235.041274
blis,d,32,5,1.569357,1274.407426
blis,d,40,1,1.295720,1543.543238
blis,d,40,2,1.289842,1550.577629
blis,d,40,3,1.233965,1620.791579
blis,d,40,4,1.214444,1646.844096
blis,d,40,5,1.253393,1595.668871
blis,d,48,1,1.082133,1848.202193
blis,d,48,2,1.092575,1830.538720
blis,d,48,3,1.135024,1762.077529
blis,d,48,4,1.090970,1833.231643
blis,d,48,5,1.093594,1828.832687
blis,d,56,1,1.003282,1993.458283
blis,d,56,2,1.012715,1974.889825
blis,d,56,3,1.013605,1973.155231
blis,d,56,4,1.020658,1959.520028
blis,d,56,5,1.019960,1960.861085
blis,d,64,1,0.941728,2123.755301
blis,d,64,2,0.939908,2127.868418
blis,d,64,3,0.963765,2075.194393
blis,d,64,4,0.949326,2106.757439
blis,d,64,5,0.943474,2119.824482
blis,d,72,1,0.900667,2220.575443
blis,d,72,2,0.926657,2158.296418
blis,d,72,3,0.945827,2114.552512
blis,d,72,4,0.931055,2148.100550
blis,d,72,5,0.947941,2109.835338
blis,d,80,1,0.916470,2182.285379
blis,d,80,2,0.897043,2229.546665
blis,d,80,3,0.959242,2084.979509
blis,d,80,4,0.881630,2268.525216
blis,d,80,5,0.894071,2236.957611
blis,d,88,1,0.950967,2103.123500
blis,d,88,2,1.003875,1992.280878
blis,d,88,3,0.983243,2034.085393
blis,d,88,4,0.974917,2051.456541
blis,d,88,5,0.966471,2069.385166
blis,d,96,1,0.945529,2115.218116
blis,d,96,2,0.910120,2197.512486
blis,d,96,3,0.942717,2121.526834
blis,d,96,4,0.903612,2213.338952
blis,d,96,5,0.943469,2119.836384
blis,d,104,1,1.023467,1954.141522
blis,d,104,2,1.018439,1963.789225
blis,d,104,3,1.013139,1974.061980
blis,d,104,4,1.041569,1920.179671
blis,d,104,5,1.034072,1934.102170
blis,d,112,1,1.039325,1924.325857
blis,d,112,2,1.024722,1951.748882
blis,d,112,3,1.013514,1973.332189
blis,d,112,4,1.045384,1913.172883
blis,d,112,5,1.082861,1846.959581
blis,d,120,1,0.978860,2043.192472
blis,d,120,2,1.009649,1980.887325
blis,d,120,3,1.053199,1898.976440
blis,d,120,4,0.997434,2005.145180
blis,d,120,5,1.065882,1876.380712
blis,d,128,1,1.023907,1953.301938
blis,d,128,2,1.104706,1810.436424
blis,d,128,3,1.056850,1892.415879
blis,d,128,4,1.084913,1843.465606
blis,d,128,5,1.122283,1782.081052
blis,d,136,1,1.668251,1198.860020
blis,d,136,2,2.002303,998.849597
blis,d,136,3,1.987981,1006.045607
blis,d,136,4,1.593061,1255.444745
blis,d,136,5,1.598517,1251.159482
blis,d,144,1,1.656442,1207.407057
blis,d,144,2,2.032052,984.227005
blis,d,144,3,1.860841,1074.783093
blis,d,144,4,1.912253,1045.886589
blis,d,144,5,1.828782,1093.623809
blis,d,152,1,2.451456,815.841852
blis,d,152,2,2.206063,906.592364
blis,d,152,3,1.923473,1039.785751
blis,d,152,4,2.100757,952.037602
blis,d,152,5,2.014038,993.030075
blis,d,160,1,2.042861,979.018966
blis,d,160,2,2.165033,923.773397
blis,d,160,3,2.395893,834.761691
blis,d,160,4,2.219570,901.075477
blis,d,160,5,1.941835,1029.953567
blis,d,168,1,2.156517,927.421386
blis,d,168,2,2.228869,897.315884
blis,d,168,3,2.304242,867.964498
blis,d,168,4,2.318737,862.538639
blis,d,168,5,2.175607,919.283757
blis,d,176,1,2.429741,823.133028
blis,d,176,2,2.481753,805.881911
blis,d,176,3,2.076067,963.360276
blis,d,176,4,2.320582,861.852589
blis,d,176,5,2.448224,816.918867
blis,d,184,1,2.161812,925.149948
blis,d,184,2,2.447988,816.997445
blis,d,184,3,2.227245,897.970247
blis,d,184,4,2.408641,830.343689
blis,d,184,5,2.247692,889.801440
blis,d,192,1,2.468978,810.051808
blis,d,192,2,2.183072,916.140025
blis,d,192,3,2.606112,767.426771
blis,d,192,4,2.456230,814.256150
blis,d,192,5,2.314625,864.070793
blis,d,200,1,2.655823,753.062147
blis,d,200,2,2.540180,787.345928
blis,d,200,3,2.311319,865.306916
